,precizitás,fedés,előrehaladás
K_n,0.3893333333333333,0.3983333333333334,0.8
K_2,0.5952380952380952,0.6111111111111112,1.1111111111111112
K_3,0.44623655913978494,0.456989247311828,0.9032258064516129
H_n,0.4351904761904762,0.4351904761904762,1.1
H_2,0.5074626865671642,0.5298507462686567,0.8656716417910447
H_3,0.46060606060606063,0.5030303030303032,0.8181818181818182
P_n,0.49149659863945583,0.5023809523809524,1.1428571428571428
P_2,0.296875,0.3046875,0.453125
P_3,0.37288135593220334,0.3898305084745762,0.7288135593220338
